SA TABLE:
2 - @EOF@ - [('ACCEPT', 'Q0 -> <prijevodna_jedinica>')]
2 - <vanjska_deklaracija> - [('PLACE', 184)]
2 - <specifikator_tipa> - [('PLACE', 4)]
2 - <definicija_funkcije> - [('PLACE', 5)]
2 - <ime_tipa> - [('PLACE', 6)]
2 - KR_INT - [('MOVE', 7)]
2 - KR_VOID - [('MOVE', 8)]
2 - KR_CHAR - [('MOVE', 9)]
2 - KR_CONST - [('MOVE', 10)]
2 - <deklaracija> - [('PLACE', 11)]
3 - KR_CHAR - [('REDUCE', '<prijevodna_jedinica> -> <vanjska_deklaracija>')]
3 - KR_CONST - [('REDUCE', '<prijevodna_jedinica> -> <vanjska_deklaracija>')]
3 - KR_INT - [('REDUCE', '<prijevodna_jedinica> -> <vanjska_deklaracija>')]
3 - KR_VOID - [('REDUCE', '<prijevodna_jedinica> -> <vanjska_deklaracija>')]
3 - @EOF@ - [('REDUCE', '<prijevodna_jedinica> -> <vanjska_deklaracija>')]
4 -   IDN - [('REDUCE', '<ime_tipa> -> <specifikator_tipa>')]
4 - D_ZAGRADA - [('REDUCE', '<ime_tipa> -> <specifikator_tipa>')]
5 - KR_CHAR - [('REDUCE', '<vanjska_deklaracija> -> <definicija_funkcije>')]
5 - KR_CONST - [('REDUCE', '<vanjska_deklaracija> -> <definicija_funkcije>')]
5 - KR_INT - [('REDUCE', '<vanjska_deklaracija> -> <definicija_funkcije>')]
5 - KR_VOID - [('REDUCE', '<vanjska_deklaracija> -> <definicija_funkcije>')]
5 - @EOF@ - [('REDUCE', '<vanjska_deklaracija> -> <definicija_funkcije>')]
7 -   IDN - [('REDUCE', '<specifikator_tipa> -> KR_INT')]
8 -   IDN - [('REDUCE', '<specifikator_tipa> -> KR_VOID')]
9 -   IDN - [('REDUCE', '<specifikator_tipa> -> KR_CHAR')]
11 - KR_CHAR - [('REDUCE', '<vanjska_deklaracija> -> <deklaracija>')]
11 - KR_CONST - [('REDUCE', '<vanjska_deklaracija> -> <deklaracija>')]
11 - KR_INT - [('REDUCE', '<vanjska_deklaracija> -> <deklaracija>')]
11 - KR_VOID - [('REDUCE', '<vanjska_deklaracija> -> <deklaracija>')]
11 - @EOF@ - [('REDUCE', '<vanjska_deklaracija> -> <deklaracija>')]
12 -   IDN - [('REDUCE', '<ime_tipa> -> KR_CONST <specifikator_tipa>')]
12 - D_ZAGRADA - [('REDUCE', '<ime_tipa> -> KR_CONST <specifikator_tipa>')]
13 - TOCKAZAREZ - [('REDUCE', '<lista_init_deklaratora> -> <init_deklarator>')]
13 - ZAREZ - [('REDUCE', '<lista_init_deklaratora> -> <init_deklarator>')]
14 - TOCKAZAREZ - [('REDUCE', '<izravni_deklarator> -> IDN')]
14 - OP_PRIDRUZI - [('REDUCE', '<izravni_deklarator> -> IDN')]
14 - ZAREZ - [('REDUCE', '<izravni_deklarator> -> IDN')]
14 - L_UGL_ZAGRADA - [('MOVE', 114)]
14 - L_ZAGRADA - [('MOVE', 129)]
16 - TOCKAZAREZ - [('REDUCE', '<init_deklarator> -> <izravni_deklarator>')]
16 - ZAREZ - [('REDUCE', '<init_deklarator> -> <izravni_deklarator>')]
16 - OP_PRIDRUZI - [('MOVE', 17)]
19 -  BROJ - [('REDUCE', '<unarni_operator> -> MINUS')]
19 - OP_DEC - [('REDUCE', '<unarni_operator> -> MINUS')]
19 -  ZNAK - [('REDUCE', '<unarni_operator> -> MINUS')]
19 -  PLUS - [('REDUCE', '<unarni_operator> -> MINUS')]
19 - L_ZAGRADA - [('REDUCE', '<unarni_operator> -> MINUS')]
19 - NIZ_ZNAKOVA - [('REDUCE', '<unarni_operator> -> MINUS')]
19 - MINUS - [('REDUCE', '<unarni_operator> -> MINUS')]
19 - OP_TILDA - [('REDUCE', '<unarni_operator> -> MINUS')]
19 - OP_NEG - [('REDUCE', '<unarni_operator> -> MINUS')]
19 - OP_INC - [('REDUCE', '<unarni_operator> -> MINUS')]
19 -   IDN - [('REDUCE', '<unarni_operator> -> MINUS')]
20 - TOCKAZAREZ - [('REDUCE', '<init_deklarator> -> <izravni_deklarator> OP_PRIDRUZI <inicijalizator>')]
20 - ZAREZ - [('REDUCE', '<init_deklarator> -> <izravni_deklarator> OP_PRIDRUZI <inicijalizator>')]
21 - OP_PRIDRUZI - [('REDUCE', '<primarni_izraz> -> BROJ')]
